Control ID,Control Area,Owner,Inherent Risk,NIST CSF,NIST 800-53,NIST SSDF,OWASP,CIS,ISO 27001,HIPAA,Workpaper,Evidence IDs
CTRL-APPSEC-001,Application Security Governance,Application Security Lead,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-001,"EVD-APPSEC-001, EVD-APPSEC-002, EVD-APPSEC-003"
CTRL-APPSEC-002,Secure Software Development Lifecycle,Application Security Lead,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-002,"EVD-APPSEC-004, EVD-APPSEC-005"
CTRL-APPSEC-003,Threat Modeling and Secure Architecture,Application Security Architect,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-003,"EVD-APPSEC-006, EVD-APPSEC-030"
CTRL-APPSEC-004,Secure Coding and Code Review,Engineering Manager,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-004,"EVD-APPSEC-007, EVD-APPSEC-008, EVD-APPSEC-009"
CTRL-APPSEC-005,Static Application Security Testing,Application Security Lead,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-005,EVD-APPSEC-010
CTRL-APPSEC-006,Dynamic and Interactive Application Security Testing,Application Security Lead,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-006,EVD-APPSEC-011
CTRL-APPSEC-007,Software Composition Analysis and SBOM,DevSecOps Lead,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-007,"EVD-APPSEC-012, EVD-APPSEC-013, EVD-APPSEC-029"
CTRL-APPSEC-008,"Secrets, Credentials, and Cryptographic Material",DevSecOps Lead,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-008,EVD-APPSEC-014
CTRL-APPSEC-009,CI/CD Pipeline and Software Supply Chain Security,DevSecOps Lead,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-009,"EVD-APPSEC-015, EVD-APPSEC-016"
CTRL-APPSEC-010,"Application Authentication, Authorization, and Data Protection",Application Architect,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-010,"EVD-APPSEC-017, EVD-APPSEC-030"
CTRL-APPSEC-011,API Security,API Platform Lead,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-011,EVD-APPSEC-018
CTRL-APPSEC-012,Mobile Application Security,Mobile Engineering Lead,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-012,EVD-APPSEC-019
CTRL-APPSEC-013,Application Penetration Testing and Vulnerability Disclosure,Security Testing Lead,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-013,"EVD-APPSEC-020, EVD-APPSEC-021, EVD-APPSEC-029"
CTRL-APPSEC-014,Application Vulnerability Remediation and Exceptions,Application Security Lead,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-014,"EVD-APPSEC-022, EVD-APPSEC-023, EVD-APPSEC-024"
CTRL-APPSEC-015,"Application Security Monitoring, Metrics, and Continuous Improvement",Chief Information Security Officer,High,GV; PR; DE; RS; IM,SA; SI; RA; CA; AC; AU; SC,Applicable,ASVS; SAMM; Top 10; API Top 10,16 and related,A.8.25-A.8.31,Applicable,WP-APPSEC-015,"EVD-APPSEC-003, EVD-APPSEC-025, EVD-APPSEC-026, EVD-APPSEC-027, EVD-APPSEC-028"
