Control ID,Control Area,Owner,Inherent Risk,NIST AI RMF,NIST CSF/Privacy,ISO 42001,ISO 23894,ISO 27001/27701,HIPAA,Workpaper,Evidence IDs
CTRL-AIGET-001,AI Governance and Accountability,Chief Data & AI Officer,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-001,"EVD-AIGET-001, EVD-AIGET-002"
CTRL-AIGET-002,"AI Inventory, Classification, and Lifecycle Ownership",AI Office,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-002,"EVD-AIGET-003, EVD-AIGET-004"
CTRL-AIGET-003,AI Risk Tiering and Impact Assessments,Enterprise Risk / AI Office,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-003,"EVD-AIGET-005, EVD-AIGET-006"
CTRL-AIGET-004,"Model Development, Validation, and Independent Review",Model Validation Lead,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-004,"EVD-AIGET-007, EVD-AIGET-008"
CTRL-AIGET-005,"AI Data Governance, Privacy, Bias, and Fairness",Data Governance / Responsible AI,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-005,"EVD-AIGET-009, EVD-AIGET-010"
CTRL-AIGET-006,"Explainability, Transparency, and Human Oversight",Responsible AI / Clinical Owner,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-006,"EVD-AIGET-011, EVD-AIGET-012"
CTRL-AIGET-007,AI Security and Adversarial Robustness,AI Security Lead,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-007,"EVD-AIGET-013, EVD-AIGET-014"
CTRL-AIGET-008,"Generative AI, Prompt, Output, and Data-Loss Governance",CISO / AI Office,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-008,"EVD-AIGET-015, EVD-AIGET-016"
CTRL-AIGET-009,"Third-Party AI, Foundation Models, and Vendor Governance",Vendor Risk / Procurement,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-009,"EVD-AIGET-017, EVD-AIGET-018"
CTRL-AIGET-010,"Clinical Safety, Performance, and Post-Deployment Monitoring",Clinical Informatics / Quality,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-010,"EVD-AIGET-019, EVD-AIGET-020"
CTRL-AIGET-011,"MLOps, Change Management, Versioning, and Revalidation",MLOps Lead,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-011,"EVD-AIGET-021, EVD-AIGET-022"
CTRL-AIGET-012,"AI Incident Response, Harm Management, and Kill Switches",Incident Response / AI Office,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-012,"EVD-AIGET-023, EVD-AIGET-024"
CTRL-AIGET-013,"AI Regulatory, Legal, Ethical, IP, and Records Compliance",Legal / Compliance,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-013,"EVD-AIGET-025, EVD-AIGET-026"
CTRL-AIGET-014,"Workforce AI Use, Training, and Shadow AI",Human Resources / AI Office,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-014,"EVD-AIGET-027, EVD-AIGET-028"
CTRL-AIGET-015,"AI Metrics, Value, Maturity, and Continuous Improvement",Chief Data & AI Officer,High,GOVERN; MAP; MEASURE; MANAGE,Applicable,Applicable,Applicable,Applicable,Applicable,WP-AIGET-015,"EVD-AIGET-029, EVD-AIGET-030"
